lang,size,threads,repeats,avg_time_ms,speedup,efficiency,rss_mb
python,256,8,3,358.900,1.000,0.125,27.81
python,256,8,3,368.532,1.000,0.125,30.60
python,256,8,3,357.254,1.000,0.125,30.74
python,512,8,3,1892.501,1.000,0.125,55.19
python,512,8,3,1924.376,1.000,0.125,58.96
python,512,8,3,1882.240,1.000,0.125,61.35
python,1024,8,3,15831.759,1.000,0.125,159.92
python,1024,8,3,15443.271,1.000,0.125,163.70
python,1024,8,3,15838.223,1.000,0.125,169.80
