lang,size,threads,repeats,avg_time_ms,speedup,efficiency,rss_mb
python,256,4,3,432.574,1.000,0.250,27.36
python,256,4,3,414.055,1.000,0.250,30.83
python,256,4,3,418.087,1.000,0.250,30.58
python,512,4,3,2652.104,1.000,0.250,54.19
python,512,4,3,2649.259,1.000,0.250,59.69
python,512,4,3,2608.874,1.000,0.250,60.64
python,1024,4,3,22677.530,1.000,0.250,159.36
python,1024,4,3,22519.772,1.000,0.250,162.86
python,1024,4,3,21535.493,1.000,0.250,167.35
