lang,algo,size,repeats,avg_time_ms,heap_now_mb,extra
java,sparse,512,3,15.634,15.66,"{block:64,density:0.050}"
java,sparse,1024,3,53.085,26.14,"{block:64,density:0.050}"
java,sparse,2048,3,392.543,74.50,"{block:64,density:0.050}"
