lang,algo,size,repeats,avg_time_ms,heap_now_mb,extra
java,basic,128,3,6.852,3.63,"{block:64,density:0.050}"
java,basic,256,3,6.656,8.31,"{block:64,density:0.050}"
java,basic,384,3,19.802,19.36,"{block:64,density:0.050}"
