lang,algo,size,repeats,avg_time_ms,rss_now_mb,rss_peak_mb,extra
c,basic,128,3,1.733,4.18,4.18,"{block:64,density:0.050}"
c,basic,256,3,13.334,4.34,5.39,"{block:64,density:0.050}"
c,basic,384,3,51.537,3.81,7.89,"{block:64,density:0.050}"
