lang,algo,size,repeats,avg_time_ms,rss_now_mb,rss_peak_mb,extra
c,transposed,128,3,1.614,4.31,4.31,"{block:64,density:0.050}"
c,transposed,256,3,13.928,3.82,5.92,"{block:64,density:0.050}"
c,transposed,384,3,54.136,3.82,8.56,"{block:64,density:0.050}"
