lang,size,threads,repeats,avg_time_ms,speedup,efficiency,memory_mb
java,256,4,3,37.453,1.000,0.250,7.21
java,256,4,3,5.821,1.000,0.250,10.95
java,256,4,3,2.756,1.000,0.250,13.97
java,512,4,3,41.194,1.000,0.250,21.43
java,512,4,3,42.011,1.000,0.250,8.65
java,512,4,3,36.394,1.000,0.250,15.56
java,1024,4,3,87.621,1.000,0.250,41.58
java,1024,4,3,120.503,1.000,0.250,30.38
java,1024,4,3,91.483,1.000,0.250,57.64
