lang,size,threads,repeats,avg_time_ms,speedup,efficiency,memory_mb
java,256,2,3,34.858,1.000,0.500,6.04
java,256,2,3,9.767,1.000,0.500,8.39
java,256,2,3,3.095,1.000,0.500,10.95
java,512,2,3,18.761,1.000,0.500,18.17
java,512,2,3,18.928,1.000,0.500,7.77
java,512,2,3,17.917,1.000,0.500,14.43
java,1024,2,3,151.341,1.000,0.500,29.73
java,1024,2,3,164.091,1.000,0.500,55.97
java,1024,2,3,177.491,1.000,0.500,82.16
