lang,size,threads,repeats,avg_time_ms,speedup,efficiency,memory_mb
java,256,1,3,29.041,1.000,1.000,6.05
java,256,1,3,16.354,1.000,1.000,8.15
java,256,1,3,4.571,1.000,1.000,9.78
java,512,1,3,123.573,1.000,1.000,16.08
java,512,1,3,123.222,1.000,1.000,22.37
java,512,1,3,123.921,1.000,1.000,7.83
java,1024,1,3,1072.520,1.000,1.000,33.41
java,1024,1,3,1048.831,1.000,1.000,26.56
java,1024,1,3,1058.401,1.000,1.000,52.46
